id,decile_score,Race,age,juv_fel_count,juv_misd_count,c_charge_degree,juv_other_count,priors_count,days_b_screening_arrest,days_in_jail,sex
61,2,Non-White,1,0,0,F,0,7,1.0,2.0,Female
64,7,Non-White,0,0,0,F,0,0,0.0,0.0,Male
66,10,White,0,0,0,M,0,9,1.0,7.0,Male
67,8,Non-White,1,1,0,F,4,13,1.0,1.0,Male
68,1,White,1,0,0,M,0,0,0.0,0.0,Male
70,4,Non-White,0,0,0,F,0,0,0.0,0.0,Male
71,2,White,0,0,0,F,0,1,24.0,0.0,Male
72,2,Non-White,0,0,0,F,0,0,1.0,1.0,Female
79,5,Non-White,1,0,0,F,1,15,1.0,136.0,Male
80,4,Non-White,0,0,0,F,0,2,1.0,2.0,Male
83,7,Non-White,0,0,0,M,0,0,0.0,23.0,Male
84,1,Non-White,1,0,0,M,0,4,1.0,1.0,Male
85,5,White,1,0,0,F,0,8,13.0,13.0,Male
87,3,Non-White,1,0,0,F,0,5,1.0,1.0,Male
90,10,Non-White,0,1,1,F,2,15,1.0,1.0,Male
91,2,White,1,0,0,M,0,4,1.0,2.0,Male
93,4,Non-White,0,0,0,F,1,1,1.0,1.0,Male
96,9,Non-White,0,0,0,F,0,4,1.0,19.0,Male
97,1,Non-White,1,0,0,M,0,0,0.0,0.0,Male
98,6,Non-White,0,0,1,F,0,6,0.0,30.0,Male
99,1,Non-White,1,0,0,M,0,0,1.0,1.0,Male
100,1,Non-White,1,0,0,M,0,0,0.0,3.0,Female
101,1,Non-White,1,0,0,F,0,6,1.0,242.0,Male
102,4,Non-White,0,0,0,F,0,1,1.0,1.0,Male
105,4,Non-White,1,0,0,M,0,1,1.0,5.0,Male
107,6,Non-White,0,0,0,F,0,5,0.0,1.0,Male
108,6,White,0,0,0,F,1,1,1.0,14.0,Male
111,2,Non-White,1,0,0,F,0,2,15.0,3.0,Male
113,3,Non-White,0,0,0,M,0,1,0.0,17.0,Male
114,8,White,0,0,0,F,0,0,1.0,58.0,Male
115,4,Non-White,0,0,0,F,0,1,1.0,2.0,Female
119,2,Non-White,1,0,0,F,0,0,1.0,1.0,Male
120,2,Non-White,1,0,0,M,0,1,1.0,2.0,Male
122,10,Non-White,0,0,0,M,0,8,1.0,1.0,Male
127,1,Non-White,1,0,0,F,0,0,1.0,1.0,Male
128,10,Non-White,0,1,6,F,1,14,1.0,7.0,Male
130,5,Non-White,0,0,0,F,0,0,1.0,1.0,Male
131,9,Non-White,0,1,0,F,0,2,0.0,30.0,Male
136,2,Non-White,1,0,0,M,0,1,1.0,1.0,Female
137,7,Non-White,1,0,0,F,0,9,0.0,4.0,Male
138,8,White,0,0,0,F,0,7,0.0,0.0,Male
139,6,Non-White,0,0,0,F,0,1,0.0,4.0,Male
142,8,White,0,0,0,F,0,9,1.0,1.0,Male
145,7,White,0,0,0,F,0,0,1.0,1.0,Female
146,1,White,1,0,0,F,0,2,2.0,0.0,Male
148,1,White,1,0,0,M,0,0,0.0,0.0,Female
150,1,Non-White,1,0,0,M,0,0,2.0,1.0,Female
151,4,Non-White,0,0,0,M,0,1,10.0,9.0,Male
153,2,Non-White,0,0,0,F,0,1,1.0,1.0,Male
154,1,White,1,0,0,F,0,0,1.0,2.0,Female
156,6,White,0,0,1,F,2,8,1.0,12.0,Male
157,4,White,0,0,0,F,0,0,1.0,6.0,Male
158,5,White,1,0,0,M,0,0,1.0,39.0,Male
159,4,White,1,0,0,F,0,1,1.0,107.0,Female
163,1,White,1,0,0,F,0,1,30.0,1.0,Male
166,9,Non-White,0,0,0,F,0,3,1.0,6.0,Male
169,4,White,1,0,0,M,0,5,1.0,3.0,Male
171,5,White,1,0,0,F,0,0,0.0,15.0,Male
173,5,Non-White,1,0,0,F,0,5,0.0,0.0,Male
174,2,Non-White,1,0,0,F,0,3,0.0,1.0,Male
175,2,White,1,0,0,F,0,1,0.0,1.0,Male
176,9,Non-White,1,0,1,F,0,10,0.0,176.0,Male
177,4,Non-White,0,0,0,F,0,0,1.0,1.0,Male
178,8,Non-White,1,0,12,F,2,28,1.0,2.0,Male
180,7,Non-White,1,0,0,M,0,1,1.0,1.0,Male
182,2,Non-White,0,0,0,F,0,1,1.0,1.0,Female
183,10,White,1,0,0,F,0,13,1.0,471.0,Male
184,9,Non-White,0,0,0,F,0,3,1.0,1.0,Male
189,9,White,1,0,0,M,0,3,2.0,1.0,Male
190,10,Non-White,1,0,0,F,0,19,1.0,1.0,Male
194,3,White,1,0,0,F,0,6,4.0,0.0,Male
195,4,White,0,0,0,F,0,2,1.0,3.0,Female
197,2,White,0,0,0,M,0,1,20.0,4.0,Male
200,2,Non-White,1,0,0,M,0,2,1.0,2.0,Female
202,2,White,0,0,0,M,0,0,1.0,1.0,Male
203,2,Non-White,0,0,0,M,0,0,1.0,2.0,Female
206,4,White,0,0,1,F,0,10,1.0,7.0,Female
208,2,White,1,0,0,M,0,2,0.0,0.0,Male
210,7,Non-White,1,0,0,F,0,3,1.0,8.0,Male
213,3,White,1,0,0,M,0,2,16.0,15.0,Male
215,2,Non-White,1,0,0,M,0,1,1.0,1.0,Male
216,2,White,1,0,0,F,0,1,1.0,1.0,Male
220,10,Non-White,0,1,0,F,0,1,0.0,3.0,Female
222,1,White,1,0,0,M,0,0,0.0,1.0,Female
223,8,Non-White,1,1,1,F,0,9,1.0,13.0,Male
224,6,Non-White,1,0,0,F,0,11,2.0,1.0,Male
225,5,Non-White,1,0,0,M,0,8,1.0,1.0,Male
227,3,Non-White,1,0,0,F,0,0,1.0,2.0,Female
228,9,Non-White,1,0,0,F,0,7,1.0,26.0,Female
229,9,Non-White,0,0,0,F,0,2,1.0,1.0,Male
231,6,Non-White,0,0,0,F,0,0,0.0,0.0,Female
232,6,White,0,0,0,M,0,0,2.0,1.0,Female
234,1,Non-White,1,0,0,F,0,1,1.0,1.0,Female
235,7,Non-White,1,0,0,F,0,13,1.0,2.0,Male
236,1,Non-White,1,0,0,F,0,1,26.0,15.0,Male
238,10,Non-White,1,0,0,F,0,4,7.0,7.0,Female
239,4,Non-White,0,0,0,F,0,1,1.0,1.0,Male
241,4,Non-White,0,0,0,M,0,2,1.0,1.0,Female
243,4,White,1,1,0,M,0,1,1.0,4.0,Male
244,7,White,0,0,0,F,0,3,0.0,530.0,Female
245,7,Non-White,0,0,0,F,0,1,0.0,70.0,Male
246,2,White,1,0,0,M,0,2,1.0,1.0,Male
248,2,Non-White,0,0,0,F,0,1,1.0,1.0,Male
249,1,White,1,0,0,F,0,6,22.0,23.0,Male
252,5,White,1,0,0,F,0,0,0.0,2.0,Male
254,2,Non-White,0,0,0,M,0,1,1.0,2.0,Male
257,3,Non-White,0,0,0,F,0,0,1.0,0.0,Male
258,7,Non-White,1,0,0,F,0,5,1.0,1.0,Female
259,1,Non-White,1,0,0,M,0,2,1.0,3.0,Male
260,4,Non-White,1,0,0,F,0,8,0.0,16.0,Male
264,9,Non-White,1,0,0,F,0,8,29.0,117.0,Male
265,6,Non-White,0,0,0,M,0,6,1.0,1.0,Male
266,1,Non-White,1,0,0,F,0,2,1.0,188.0,Male
267,2,Non-White,1,0,0,F,0,0,1.0,1.0,Male
268,1,White,1,0,0,M,0,1,1.0,1.0,Male
269,1,White,1,0,0,F,0,0,1.0,1.0,Male
271,2,Non-White,0,0,0,F,0,0,1.0,2.0,Male
275,5,Non-White,0,0,0,F,0,1,0.0,0.0,Male
277,8,Non-White,1,0,0,M,0,23,1.0,1.0,Male
278,2,Non-White,0,0,0,M,0,0,1.0,1.0,Male
279,1,Non-White,1,0,0,F,0,1,0.0,20.0,Male
281,1,Non-White,1,0,0,F,0,3,10.0,2.0,Male
282,4,White,1,0,0,M,0,8,0.0,71.0,Male
287,9,Non-White,1,0,0,M,0,2,0.0,0.0,Male
288,4,White,1,0,0,F,0,0,0.0,1.0,Male
289,9,Non-White,0,0,0,F,0,9,0.0,79.0,Male
291,3,White,1,0,0,F,0,2,1.0,359.0,Male
293,3,Non-White,0,0,0,F,0,0,1.0,1.0,Male
294,2,Non-White,1,0,0,M,0,2,0.0,26.0,Male
297,4,Non-White,0,0,0,M,0,1,1.0,1.0,Female
298,3,Non-White,1,0,0,M,0,2,1.0,3.0,Male
299,1,White,1,0,0,F,0,1,4.0,2.0,Male
300,3,White,1,0,0,M,0,0,1.0,0.0,Female
301,4,White,1,0,0,M,0,4,0.0,1.0,Male
302,9,Non-White,1,0,1,F,0,23,1.0,2.0,Female
304,5,Non-White,0,0,0,F,0,5,1.0,1.0,Male
306,10,Non-White,0,0,0,F,0,2,1.0,1.0,Male
308,2,Non-White,0,0,0,M,0,0,1.0,3.0,Male
310,8,Non-White,0,0,0,F,0,0,0.0,29.0,Female
313,9,White,0,0,0,F,0,7,1.0,1.0,Female
315,1,Non-White,1,0,0,F,0,2,1.0,1.0,Male
317,9,Non-White,0,0,0,F,0,1,1.0,39.0,Female
319,1,White,1,0,0,F,0,7,1.0,1.0,Male
320,9,Non-White,1,0,0,F,0,15,1.0,2.0,Male
321,5,Non-White,0,0,0,M,0,2,1.0,1.0,Male
326,1,White,1,0,0,M,0,0,1.0,1.0,Female
327,2,White,1,0,0,M,0,0,1.0,1.0,Male
329,1,Non-White,1,0,0,M,0,1,1.0,1.0,Male
330,1,Non-White,1,0,0,F,0,0,1.0,1.0,Male
331,3,White,1,0,0,F,0,4,0.0,2.0,Male
332,7,Non-White,0,0,0,F,0,2,1.0,3.0,Female
333,6,Non-White,1,0,0,M,0,5,0.0,0.0,Female
334,10,Non-White,0,0,0,F,0,11,1.0,223.0,Male
335,1,Non-White,1,0,0,M,0,0,1.0,2.0,Male
336,4,Non-White,1,0,0,F,0,4,0.0,2.0,Male
337,9,Non-White,1,0,0,F,0,11,1.0,130.0,Male
338,9,Non-White,0,0,0,F,0,2,1.0,72.0,Male
344,1,Non-White,1,0,0,M,0,0,0.0,1.0,Male
345,1,White,1,0,0,F,0,0,1.0,1.0,Male
347,4,White,1,0,0,F,0,13,0.0,51.0,Male
348,4,Non-White,1,0,0,F,0,0,1.0,14.0,Male
349,1,White,0,0,0,F,0,1,3.0,3.0,Male
350,9,Non-White,0,0,0,M,2,11,1.0,1.0,Male
351,5,White,0,0,0,F,0,1,0.0,6.0,Male
354,4,Non-White,0,0,0,F,0,0,1.0,1.0,Male
355,2,Non-White,0,0,0,F,0,4,0.0,0.0,Male
356,4,Non-White,0,0,0,F,0,4,0.0,1.0,Male
357,8,White,1,0,0,F,0,0,1.0,31.0,Male
358,2,White,1,0,0,F,0,0,1.0,35.0,Male
359,9,Non-White,1,0,1,F,0,14,1.0,1.0,Male
361,1,White,1,0,0,M,0,1,1.0,1.0,Male
362,8,Non-White,0,0,0,F,0,25,29.0,26.0,Male
363,5,White,1,0,0,M,0,8,1.0,5.0,Male
364,3,Non-White,0,0,0,F,0,0,0.0,0.0,Male
366,8,White,0,0,0,M,1,1,0.0,6.0,Male
369,1,Non-White,1,0,0,M,0,0,1.0,1.0,Female
372,2,Non-White,1,0,0,F,0,3,1.0,1.0,Female
379,2,Non-White,1,0,0,M,0,0,1.0,1.0,Female
381,6,Non-White,0,0,0,F,1,1,1.0,1.0,Male
382,5,White,0,0,0,F,4,5,1.0,1.0,Female
383,8,Non-White,0,0,0,M,0,0,3.0,1.0,Male
384,3,Non-White,0,0,0,M,0,1,1.0,1.0,Male
385,8,Non-White,0,0,0,F,0,1,1.0,1.0,Male
386,6,Non-White,0,0,0,F,0,2,1.0,2.0,Male
389,1,Non-White,1,0,0,F,0,0,1.0,1.0,Male
390,4,Non-White,0,0,0,F,0,4,1.0,1.0,Male
393,1,Non-White,1,0,0,F,0,2,0.0,1.0,Female
396,8,Non-White,0,0,0,F,0,0,1.0,3.0,Male
398,7,Non-White,0,0,0,F,1,0,0.0,2.0,Male
399,1,Non-White,1,0,0,F,0,0,1.0,1.0,Female
400,4,Non-White,0,0,0,F,0,0,1.0,4.0,Female
402,2,Non-White,1,0,0,F,0,0,1.0,2.0,Female
404,5,White,0,0,0,F,0,0,0.0,0.0,Male
405,6,White,0,0,0,F,0,0,1.0,2.0,Male
406,7,Non-White,0,0,0,F,0,11,0.0,1.0,Male
407,10,Non-White,0,0,1,M,1,3,1.0,1.0,Male
408,3,White,0,0,0,F,0,1,1.0,1.0,Female
411,3,Non-White,1,0,0,M,0,2,1.0,1.0,Female
414,2,Non-White,0,0,0,F,0,0,1.0,1.0,Female
416,6,Non-White,1,0,0,F,0,3,0.0,25.0,Male
417,1,Non-White,1,0,0,F,0,0,1.0,41.0,Male
423,1,White,1,0,0,F,0,3,4.0,3.0,Male
425,1,White,1,0,0,M,0,1,13.0,13.0,Male
428,4,White,1,0,0,F,0,3,1.0,14.0,Male
429,9,Non-White,0,0,0,M,0,0,1.0,1.0,Male
430,8,Non-White,0,0,0,M,0,1,1.0,2.0,Male
431,1,Non-White,1,0,0,F,0,3,23.0,2.0,Male
432,4,White,1,0,0,M,0,5,1.0,1.0,Male
435,4,Non-White,1,0,0,M,0,5,1.0,1.0,Male
437,5,White,0,0,0,F,0,0,0.0,1.0,Male
438,4,Non-White,1,0,0,F,0,5,1.0,3.0,Male
440,3,Non-White,1,0,0,F,0,6,1.0,3.0,Male
441,3,Non-White,0,0,0,F,0,0,1.0,1.0,Male
445,3,White,1,0,0,F,0,2,1.0,2.0,Male
446,6,Non-White,0,0,0,M,0,0,0.0,1.0,Female
451,8,Non-White,0,0,0,M,1,4,11.0,11.0,Male
452,1,White,1,0,0,F,0,0,0.0,2.0,Male
456,3,White,1,0,0,F,0,5,1.0,11.0,Male
457,2,Non-White,1,0,0,F,0,2,1.0,8.0,Male
459,1,Non-White,1,0,0,F,0,5,0.0,0.0,Female
461,3,Non-White,0,0,0,F,0,0,1.0,46.0,Male
462,1,Non-White,0,0,0,M,0,0,0.0,1.0,Male
463,1,White,1,0,0,M,0,0,1.0,1.0,Male
464,3,White,0,0,0,M,0,3,1.0,1.0,Male
465,2,White,1,0,0,F,0,0,3.0,1.0,Female
467,10,Non-White,0,0,1,F,0,9,1.0,5.0,Male
468,2,Non-White,0,0,0,F,0,0,0.0,17.0,Male
469,10,Non-White,0,0,0,F,0,0,1.0,1.0,Male
474,1,White,1,0,0,M,0,0,0.0,1.0,Female
475,1,White,1,0,0,M,0,0,0.0,1.0,Male
478,9,Non-White,0,0,0,F,0,7,1.0,1.0,Male
480,9,Non-White,0,0,0,F,0,0,1.0,210.0,Male
484,5,White,0,0,0,F,0,8,1.0,68.0,Male
485,9,Non-White,0,0,1,F,0,2,1.0,19.0,Male
487,6,White,1,0,0,F,0,36,7.0,33.0,Male
489,3,White,0,0,0,M,0,2,0.0,1.0,Male
494,5,Non-White,0,0,1,F,0,3,22.0,22.0,Male
495,7,Non-White,1,0,0,F,0,0,1.0,12.0,Female
496,4,White,0,0,0,M,0,2,2.0,1.0,Female
497,3,Non-White,0,0,0,M,0,1,0.0,0.0,Female
499,5,White,0,0,0,F,0,1,4.0,1.0,Male
500,8,Non-White,0,0,0,F,0,0,1.0,1.0,Female
501,3,White,1,0,0,M,0,0,1.0,1.0,Male
502,3,Non-White,0,0,0,F,0,0,1.0,1.0,Male
504,2,Non-White,0,0,0,F,0,1,1.0,1.0,Male
505,1,Non-White,0,0,0,F,0,0,1.0,1.0,Male
509,6,White,0,0,0,M,0,0,0.0,4.0,Female
510,1,Non-White,1,0,0,M,0,1,1.0,1.0,Male
516,9,Non-White,1,0,1,F,0,12,1.0,2.0,Male
517,6,Non-White,0,0,0,F,1,1,0.0,1.0,Male
518,3,Non-White,1,0,0,F,0,3,0.0,0.0,Male
522,1,White,1,0,0,F,0,0,1.0,19.0,Male
523,10,Non-White,0,0,2,F,0,2,1.0,1.0,Male
524,8,Non-White,0,0,0,M,0,0,1.0,2.0,Male
525,1,Non-White,1,0,0,M,0,0,1.0,1.0,Male
526,6,White,0,0,0,F,2,0,0.0,0.0,Female
527,1,White,1,0,0,M,0,0,1.0,1.0,Male
530,6,White,0,0,0,F,0,2,1.0,2.0,Male
531,10,Non-White,0,0,0,M,1,6,0.0,4.0,Male
532,4,White,0,0,0,F,0,0,2.0,0.0,Male
533,5,Non-White,0,0,0,F,0,0,1.0,1.0,Female
537,5,Non-White,1,0,0,F,0,3,0.0,4.0,Male
538,4,Non-White,0,0,0,M,1,2,1.0,51.0,Male
540,1,White,1,0,0,M,0,0,1.0,1.0,Female
542,10,Non-White,0,2,0,F,0,3,0.0,0.0,Male
545,4,Non-White,0,1,0,F,0,1,21.0,3.0,Female
546,3,Non-White,1,0,0,F,0,1,0.0,95.0,Male
547,4,White,0,0,0,F,0,0,0.0,2.0,Male
548,3,Non-White,0,0,1,F,0,1,1.0,0.0,Male
552,6,White,0,0,0,M,0,2,1.0,1.0,Male
557,9,Non-White,0,0,0,F,0,4,1.0,220.0,Male
558,5,Non-White,0,0,0,F,0,0,1.0,12.0,Male
561,1,White,1,0,0,M,0,1,0.0,0.0,Male
563,1,White,1,0,0,M,0,1,1.0,1.0,Female
565,7,White,1,0,0,F,0,0,1.0,8.0,Male
566,8,Non-White,0,0,0,F,0,7,1.0,127.0,Male
567,1,White,1,0,0,M,0,1,1.0,1.0,Female
569,4,Non-White,0,0,0,F,0,0,1.0,1.0,Female
572,1,Non-White,1,0,0,F,0,1,12.0,4.0,Male
573,3,Non-White,0,0,0,M,0,1,1.0,2.0,Male
576,8,Non-White,0,1,1,F,0,6,1.0,1.0,Male
579,9,Non-White,0,0,0,F,0,4,1.0,260.0,Male
580,7,White,0,0,0,M,0,3,8.0,6.0,Male
581,9,Non-White,1,0,0,F,0,23,1.0,17.0,Male
584,5,Non-White,1,0,0,F,0,2,1.0,5.0,Male
586,1,Non-White,1,0,0,F,0,2,1.0,1.0,Male
588,4,Non-White,0,0,0,F,0,7,1.0,1.0,Male
590,8,White,1,1,0,F,0,23,1.0,361.0,Male
594,1,White,1,0,0,M,0,0,0.0,0.0,Female
597,8,Non-White,0,0,0,F,0,12,1.0,32.0,Male
598,9,Non-White,0,0,0,F,0,5,0.0,51.0,Male
599,3,White,1,0,0,M,0,3,0.0,0.0,Male
600,2,Non-White,0,0,0,F,0,0,1.0,2.0,Female
602,7,Non-White,1,0,0,F,0,14,1.0,1.0,Male
603,5,Non-White,0,1,0,F,0,2,1.0,2.0,Male
604,9,Non-White,0,0,0,M,1,0,0.0,21.0,Male
608,2,White,0,0,0,F,0,0,0.0,0.0,Male
611,3,Non-White,1,0,0,F,0,5,1.0,12.0,Male
612,8,Non-White,0,0,0,F,0,9,1.0,52.0,Male
613,1,White,1,0,0,F,0,4,1.0,7.0,Male
616,2,Non-White,1,0,0,F,0,3,0.0,1.0,Male
617,1,Non-White,1,0,0,F,0,4,1.0,1.0,Male
621,3,Non-White,0,0,0,M,0,1,5.0,5.0,Male
622,6,White,1,0,0,M,0,0,2.0,1.0,Female
623,1,White,1,0,0,M,0,0,1.0,1.0,Male
624,7,Non-White,0,0,0,F,0,0,0.0,0.0,Female
627,6,Non-White,1,0,0,F,0,11,1.0,110.0,Male
628,2,White,0,0,0,M,0,0,0.0,0.0,Male
629,3,Non-White,0,0,0,M,0,0,0.0,0.0,Male
630,3,White,0,0,0,F,0,0,1.0,2.0,Male
633,1,White,1,0,0,M,0,2,23.0,1.0,Female
635,3,Non-White,1,0,0,M,0,7,0.0,1.0,Male
637,5,White,0,0,0,F,0,1,1.0,1.0,Male
638,6,Non-White,0,0,0,F,0,8,1.0,3.0,Male
639,1,Non-White,1,0,0,F,0,1,1.0,2.0,Male
640,7,Non-White,0,0,0,F,0,0,0.0,1.0,Male
641,6,White,0,0,0,M,0,0,0.0,5.0,Male
644,7,Non-White,1,0,0,M,0,21,1.0,59.0,Male
645,7,Non-White,0,0,0,F,0,3,1.0,106.0,Male
646,1,Non-White,1,0,0,M,0,1,0.0,1.0,Male
647,4,White,1,0,0,F,0,0,0.0,0.0,Male
648,5,Non-White,1,0,0,F,0,1,1.0,26.0,Male
649,1,White,0,0,0,M,0,3,22.0,0.0,Male
651,4,Non-White,0,0,0,F,0,3,0.0,33.0,Male
653,8,White,0,0,1,F,1,3,0.0,0.0,Male
654,1,White,1,0,0,F,0,0,1.0,1.0,Male
656,6,Non-White,0,0,0,F,0,2,1.0,1.0,Male
657,10,Non-White,0,0,0,F,0,3,1.0,1.0,Female
659,10,White,0,0,0,F,1,1,1.0,32.0,Male
660,1,White,1,0,0,M,0,2,1.0,1.0,Male
662,5,White,0,0,0,F,0,0,0.0,0.0,Female
664,1,White,1,0,0,M,0,0,0.0,0.0,Male
668,5,Non-White,0,0,0,F,0,2,1.0,1.0,Male
669,10,Non-White,0,1,0,F,1,1,1.0,1.0,Male
674,2,Non-White,0,0,0,M,0,1,1.0,2.0,Male
675,1,White,1,0,0,F,0,4,1.0,2.0,Male
678,2,Non-White,1,0,0,F,0,3,0.0,0.0,Female
679,1,Non-White,0,0,0,M,0,1,0.0,4.0,Male
680,3,Non-White,1,0,0,F,0,5,1.0,1.0,Male
681,1,White,0,0,0,M,0,0,1.0,1.0,Male
685,10,Non-White,1,0,0,F,0,2,1.0,10.0,Female
686,1,White,1,0,0,M,0,0,1.0,4.0,Male
687,8,Non-White,0,0,0,F,1,0,1.0,22.0,Male
688,8,Non-White,0,0,0,M,0,13,1.0,1.0,Male
691,6,Non-White,0,0,0,M,0,1,1.0,13.0,Male
692,5,Non-White,0,0,0,F,0,3,0.0,1.0,Male
693,5,White,1,0,0,F,0,6,1.0,2.0,Male
694,4,White,0,0,0,F,0,1,0.0,4.0,Male
697,3,Non-White,1,0,0,F,0,5,1.0,119.0,Male
700,9,Non-White,0,1,1,F,0,10,1.0,1.0,Male
701,10,Non-White,0,0,0,F,0,5,1.0,1.0,Male
703,1,White,1,0,0,F,0,2,3.0,3.0,Male
704,1,Non-White,1,0,0,F,0,0,0.0,1.0,Male
707,6,Non-White,0,1,2,F,2,6,1.0,1.0,Male
708,9,Non-White,1,0,0,F,0,28,1.0,6.0,Male
709,7,Non-White,1,0,0,F,1,8,1.0,10.0,Male
711,9,Non-White,0,1,0,F,0,6,1.0,26.0,Female
712,1,Non-White,1,0,0,M,0,2,26.0,1.0,Male
713,6,Non-White,1,0,0,M,0,12,1.0,4.0,Male
715,5,White,0,0,0,M,1,1,0.0,0.0,Male
716,2,Non-White,1,0,0,M,0,1,1.0,1.0,Male
718,10,Non-White,0,0,0,F,0,1,0.0,2.0,Male
720,1,White,1,0,0,F,0,0,0.0,35.0,Male
721,10,Non-White,0,0,0,F,0,0,0.0,1.0,Male
722,2,White,1,0,0,F,0,3,14.0,7.0,Male
724,1,White,1,0,0,F,0,3,1.0,1.0,Male
726,6,White,1,0,0,F,0,4,1.0,1.0,Male
727,1,White,1,0,0,F,0,0,2.0,1.0,Male
728,1,Non-White,1,0,0,F,0,4,1.0,32.0,Male
729,1,White,1,0,0,F,0,1,2.0,0.0,Male
730,6,Non-White,1,0,0,F,0,0,1.0,101.0,Male
731,1,Non-White,1,0,0,F,0,1,11.0,10.0,Male
732,4,Non-White,0,0,0,M,0,2,26.0,1.0,Male
737,9,White,0,0,0,F,1,6,0.0,3.0,Female
738,9,White,0,0,0,M,4,2,1.0,9.0,Male
740,7,Non-White,1,0,0,F,0,5,0.0,11.0,Male
743,2,Non-White,0,0,0,F,0,1,1.0,1.0,Male
745,2,White,0,0,0,M,0,0,1.0,1.0,Female
752,4,White,0,0,0,M,0,0,0.0,1.0,Male
753,1,Non-White,1,0,0,M,0,0,1.0,1.0,Male
754,4,Non-White,0,0,0,F,0,4,1.0,8.0,Male
756,1,White,1,0,0,M,0,0,2.0,1.0,Female
757,5,Non-White,1,0,0,F,0,0,0.0,1.0,Male
762,3,White,0,0,0,M,0,1,1.0,1.0,Male
763,5,Non-White,0,0,0,F,0,7,1.0,1.0,Male
764,3,Non-White,1,0,0,F,0,20,1.0,28.0,Male
765,6,Non-White,1,0,0,F,0,33,0.0,14.0,Male
769,5,White,0,0,0,F,0,2,0.0,0.0,Male
770,1,White,1,0,0,M,0,1,1.0,1.0,Male
771,2,White,1,0,0,F,0,1,0.0,74.0,Male
775,3,White,1,0,0,M,0,4,1.0,1.0,Male
781,5,Non-White,1,0,0,F,0,12,0.0,1.0,Male
785,2,Non-White,0,0,0,M,0,0,1.0,1.0,Female
786,1,White,1,0,0,M,0,0,0.0,1.0,Female
787,4,Non-White,0,0,0,M,0,7,1.0,38.0,Male
788,1,Non-White,0,0,0,M,0,2,1.0,2.0,Male
789,3,Non-White,1,0,0,M,0,2,0.0,0.0,Male
790,4,Non-White,1,0,0,F,0,6,1.0,52.0,Female
792,1,Non-White,0,0,0,M,0,0,0.0,0.0,Male
793,7,Non-White,1,0,0,F,0,10,1.0,127.0,Male
794,5,Non-White,0,0,0,F,0,5,1.0,2.0,Male
796,2,White,0,0,0,F,0,0,0.0,1.0,Male
798,7,White,1,0,0,F,0,1,1.0,129.0,Male
803,5,Non-White,1,0,0,M,0,4,0.0,1.0,Male
804,4,Non-White,0,0,0,F,0,0,0.0,0.0,Male
805,4,White,0,0,0,F,0,4,5.0,5.0,Male
806,2,White,0,0,0,F,0,0,1.0,15.0,Male
807,9,White,0,0,0,M,0,0,1.0,1.0,Male
808,4,White,0,0,1,F,3,6,1.0,1.0,Male
810,3,Non-White,0,0,1,M,0,1,1.0,1.0,Male
